time,FinapresPPG
62.7817946666667,-36.5801
62.795128,-34.16559
62.8084613333333,-29.34552
62.8217946666667,-22.05118
62.835128,-12.46429
62.8484613333333,-1.01785
62.8617946666667,11.44201
62.875128,23.67215
62.8884613333333,34.36322
62.9017946666667,42.63685
62.915128,48.26096
62.9284613333333,51.43837
62.9417946666667,52.70511
62.955128,52.66532
62.9684613333333,51.88508
62.9817946666667,50.69268
62.995128,49.13245
63.0084613333333,47.13792
63.0217946666667,44.73812
63.035128,42.0246
63.0484613333333,39.04776
63.0617946666667,35.89526
63.075128,32.75551
63.0884613333333,29.70037
63.1017946666666,26.73898
63.115128,23.91787
63.1284613333333,21.42288
63.1417946666667,19.35511
63.155128,17.53111
63.1684613333333,15.62336
63.1817946666667,13.46504
63.195128,11.13291
63.2084613333333,8.74959
63.2217946666667,6.30025
63.235128,3.64096
63.2484613333333,0.72908
63.2617946666667,-2.34628
63.275128,-5.42765
63.2884613333333,-8.43013
63.3017946666667,-11.32062
63.315128,-14.04373
63.3284613333333,-16.56625
63.3417946666667,-18.91306
63.355128,-21.11105
63.3684613333333,-23.16994
63.3817946666667,-25.15678
63.395128,-27.14229
63.4084613333333,-29.05895
63.4217946666667,-30.57763
63.435128,-31.19538
63.4484613333333,-30.38726
63.4617946666666,-27.70767
63.475128,-22.81875
63.4884613333333,-15.54175
63.5017946666667,-5.98295
63.515128,5.24482
63.5284613333333,16.85928
63.5417946666667,27.5587
63.555128,36.45777
63.5684613333333,43.13097
63.5817946666667,47.45633
63.595128,49.53455
63.6084613333333,49.67074
63.6217946666667,48.36866
63.635128,46.27185
63.6484613333333,43.97848
63.6617946666667,41.76532
63.675128,39.54311
63.6884613333333,37.06348
63.7017946666667,34.15966
63.715128,30.87238
63.7284613333333,27.4032
63.7417946666666,24.01937
63.755128,20.96232
63.7684613333333,18.31955
63.7817946666667,15.97523
63.795128,13.79597
63.8084613333333,11.771
63.8217946666667,9.93997
63.835128,8.16476
63.8484613333333,6.15527
63.8617946666667,3.77858
63.875128,1.17017
63.8884613333333,-1.52005
63.9017946666667,-4.3168
63.915128,-7.27188
63.9284613333333,-10.27383
63.9417946666667,-13.11121
63.955128,-15.73181
63.9684613333333,-18.19726
63.9817946666667,-20.58691
63.995128,-22.92576
64.0084613333333,-25.21865
64.0217946666667,-27.51096
64.035128,-29.84001
64.0484613333333,-32.15643
64.0617946666667,-34.3242
64.075128,-36.08786
64.0884613333333,-37.0171
64.1017946666666,-36.57057
64.115128,-34.20707
64.1284613333333,-29.50079
64.1417946666667,-22.3494
64.155128,-13.03572
64.1684613333333,-2.18178
64.1817946666667,9.25467
64.195128,20.08563
64.2084613333333,29.24911
64.2217946666667,36.13339
64.235128,40.58713
64.2484613333333,42.78915
64.2617946666666,43.30557
64.275128,42.81874
64.2884613333333,41.81868
64.3017946666667,40.3659
